"","participant.code","session.code","donation","inconsistent","switching_row","id_in_group","role","payoff","pq01","pq02","pq03","pq04","pq05","pq06","pq07","pq08","pq09","pq10","pq11","pq12","pq13","pq14","age","gender","education","income","cliccs1","cliccs2","treatment","groupID"
"21","mp7thwfr","jyf8xd0s",0.5,NA,NA,21,NA,0,5,1,5,0,5,1,4,5,0,5,4,3,4,5,53,0,7,3,"Temperaturanstieg","CO2 neutral werden","replication","jyf8xd0s_3"
"22","h56b8po1","jyf8xd0s",1,NA,NA,22,NA,0,3,0,6,0,6,6,6,6,3,4,4,6,2,4,69,0,4,4,"CO2 Reduktion und Trinkwasserverbrauch","Photovoltaik in Planung, CO2 Fußabdruck wird reduziert durch gezielte Kfz-Nutzung und Vermeidung von Flügen.","replication","jyf8xd0s_8"
"23","fnp542ah","jyf8xd0s",0.2,NA,NA,23,NA,0,5,3,3,2,3,4,5,5,2,4,1,1,3,2,51,0,7,5,"Wachstum der Weltbevölkerung","Versuche im kleinen meinen Beitrag zu leisten","replication","jyf8xd0s_6"
"24","lr17ksyy","jyf8xd0s",1.1,NA,NA,24,NA,0,3,1,5,1,5,1,5,5,0,1,4,4,4,4,73,1,6,4,"Emissionsminderung, Resourceneinsparung, Recycling","bewusstes Verhalten, ÖPNV nutzen, Energiesparen","replication","jyf8xd0s_8"
"25","fkjiwkub","jyf8xd0s",2.35,NA,NA,25,NA,0,5,3,4,0,6,4,6,5,0,3,4,5,2,3,50,1,7,9999,"Das Verhalten von uns Menschen - mich eingeschlossen - nachhaltig zu verändern. Leider siegt oft die Bequemlichkeit und/oder der Blick auf das Portemonnaie/Konto.","Ich versuche meinen Teil beizutragen (benutzte fast ausschließlich öffentliche Verkehrsmittel), aber es gibt auch Lebensbereiche, in denen mir eine umweltverträgliche Entscheidung schwerer fällt (z.B. wenn es um den Urlaub geht). Nichtsdestotrotz ist mir das Thema wichtig und wenn immer möglich, würde ich mich für die umweltfreundlichere Alternative entscheiden.","replication","jyf8xd0s_2"
"26","tq9xpl62","jyf8xd0s",1,NA,NA,26,NA,0,2,5,4,5,5,5,5,2,0,2,4,4,2,4,47,1,6,2,"Schnelle Entscheidungen treffen, um den Klimawandel aufzuhalten","Alles unterstützen, was den Klimawandel aufhält","replication","jyf8xd0s_4"
"27","7v7fea76","jyf8xd0s",0.65,NA,NA,27,NA,0,3,1,5,2,4,5,2,4,0,5,4,4,3,3,63,0,7,5,"Bevölkerungswachstum","nur ein Kind, geringen CO2 Fußabdruck","replication","jyf8xd0s_6"
"28","qc9i5tcf","jyf8xd0s",0,NA,NA,28,NA,0,6,1,5,0,6,3,6,5,0,4,5,4,0,2,51,0,7,4,"Wasserknappheit","Wasser sparen","replication","jyf8xd0s_3"
"29","ge4wu0yq","jyf8xd0s",1.8,NA,NA,29,NA,0,3,4,4,0,4,0,6,6,0,6,6,5,1,4,59,1,5,3,"Wassermangel durch Erwärmung","Sparsam mit den Resourcen umgehen","replication","jyf8xd0s_4"
"30","10bdchsy","jyf8xd0s",0,NA,NA,30,NA,0,5,3,6,0,5,2,6,4,1,5,4,6,1,1,58,0,7,4,"Gesundheitliche Beeinträchtigungen","Lebensweise CO2-neutral auszurichten","replication","jyf8xd0s_10"
"31","ct9vd8l8","jyf8xd0s",0,NA,NA,31,NA,0,5,5,4,1,5,5,5,5,5,5,2,2,2,5,78,1,2,2,"Verstehen,Informationen","Verbesserung,Verstehen","replication","jyf8xd0s_11"
"32","8wjhbssn","jyf8xd0s",1.6,NA,NA,32,NA,0,3,6,3,5,4,2,4,6,0,2,3,3,4,5,40,1,4,2,"Der Streit zwischen Politik und Wirtschaft bzgl. des Kapitalismus.","Ich versuche im Kleinen ein Zeichen zu setzen, indem ich z.B. nachhaltiger lebe.","replication","jyf8xd0s_5"
"33","n6a2t3e7","jyf8xd0s",0.1,NA,NA,33,NA,0,3,2,4,1,5,3,5,4,1,1,1,4,3,4,67,0,4,4,"Vereinheitlichung der Klimaregulierungen weltweit","Versuche meinen Beitrag zu leisten, z.B. Reduzierung bei Autofahren etc,","replication","jyf8xd0s_8"
"34","v0qqq5z3","jyf8xd0s",0,NA,NA,34,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"35","1dmj5i4f","jyf8xd0s",0,NA,NA,35,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"36","bh2incc9","jyf8xd0s",0,NA,NA,36,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"37","bvyt6fmd","jyf8xd0s",0,NA,NA,37,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"38","u9gmye8n","jyf8xd0s",0,NA,NA,38,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"39","h4a789i8","jyf8xd0s",0,NA,NA,39,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"40","uuhfrasv","jyf8xd0s",0,NA,NA,40,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"41","gzk4don6","jyf8xd0s",0,NA,NA,41,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"42","i5f205i5","jyf8xd0s",0,NA,NA,42,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"43","ruvveun9","jyf8xd0s",0,NA,NA,43,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"44","vs8ahmiz","jyf8xd0s",0,NA,NA,44,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
