"","participant.code","treatment","session.code","groupID","othersContribution","ownContribution","trust","comprehension"
"65",521,"noPunish10",5,502,55,10,NA,NA
"66",522,"noPunish10",5,502,45,20,NA,NA
"67",523,"noPunish10",5,502,45,20,NA,NA
"68",524,"noPunish10",5,502,50,15,NA,NA
"69",531,"noPunish10",5,503,30,10,NA,NA
"70",532,"noPunish10",5,503,35,5,NA,NA
"71",533,"noPunish10",5,503,30,10,NA,NA
"72",534,"noPunish10",5,503,25,15,NA,NA
"73",541,"noPunish10",5,504,45,6,NA,NA
"74",542,"noPunish10",5,504,31,20,NA,NA
"75",543,"noPunish10",5,504,46,5,NA,NA
"76",544,"noPunish10",5,504,31,20,NA,NA
"77",551,"noPunish10",5,505,32,2,NA,NA
"78",552,"noPunish10",5,505,19,15,NA,NA
"79",553,"noPunish10",5,505,27,7,NA,NA
"80",554,"noPunish10",5,505,24,10,NA,NA
"81",561,"noPunish10",5,506,21,10,NA,NA
"82",562,"noPunish10",5,506,21,10,NA,NA
"83",563,"noPunish10",5,506,21,10,NA,NA
"84",564,"noPunish10",5,506,30,1,NA,NA
"85",571,"noPunish10",5,507,42,10,NA,NA
"86",572,"noPunish10",5,507,50,2,NA,NA
"87",573,"noPunish10",5,507,32,20,NA,NA
"88",574,"noPunish10",5,507,32,20,NA,NA
"89",581,"noPunish10",5,508,27,10,NA,NA
"90",582,"noPunish10",5,508,30,7,NA,NA
"91",583,"noPunish10",5,508,32,5,NA,NA
"92",584,"noPunish10",5,508,22,15,NA,NA
"93",811,"noPunish10",8,801,30,5,NA,NA
"94",812,"noPunish10",8,801,25,10,NA,NA
"95",813,"noPunish10",8,801,25,10,NA,NA
"96",814,"noPunish10",8,801,25,10,NA,NA
"97",821,"noPunish10",8,802,27,19,NA,NA
"98",822,"noPunish10",8,802,36,10,NA,NA
"99",823,"noPunish10",8,802,36,10,NA,NA
"100",824,"noPunish10",8,802,39,7,NA,NA
"101",831,"noPunish10",8,803,38,6,NA,NA
"102",832,"noPunish10",8,803,31,13,NA,NA
"103",833,"noPunish10",8,803,39,5,NA,NA
"104",834,"noPunish10",8,803,24,20,NA,NA
"105",841,"noPunish10",8,804,38,10,NA,NA
"106",842,"noPunish10",8,804,33,15,NA,NA
"107",843,"noPunish10",8,804,45,3,NA,NA
"108",844,"noPunish10",8,804,28,20,NA,NA
"109",851,"noPunish10",8,805,47,7,NA,NA
"110",852,"noPunish10",8,805,47,7,NA,NA
"111",853,"noPunish10",8,805,34,20,NA,NA
"112",854,"noPunish10",8,805,34,20,NA,NA
"113",861,"noPunish10",8,806,23,10,NA,NA
"114",862,"noPunish10",8,806,18,15,NA,NA
"115",863,"noPunish10",8,806,30,3,NA,NA
"116",864,"noPunish10",8,806,28,5,NA,NA
"117",871,"noPunish10",8,807,24,10,NA,NA
"118",872,"noPunish10",8,807,24,10,NA,NA
"119",873,"noPunish10",8,807,30,4,NA,NA
"120",874,"noPunish10",8,807,24,10,NA,NA
"121",881,"noPunish10",8,808,43,8,NA,NA
"122",882,"noPunish10",8,808,31,20,NA,NA
"123",883,"noPunish10",8,808,43,8,NA,NA
"124",884,"noPunish10",8,808,36,15,NA,NA
"125",911,"noPunish10",9,901,31,6,NA,NA
"126",912,"noPunish10",9,901,27,10,NA,NA
"127",913,"noPunish10",9,901,17,20,NA,NA
"128",914,"noPunish10",9,901,36,1,NA,NA
"129",921,"noPunish10",9,902,30,10,NA,NA
"130",922,"noPunish10",9,902,30,10,NA,NA
"131",923,"noPunish10",9,902,20,20,NA,NA
"132",924,"noPunish10",9,902,40,0,NA,NA
"133",931,"noPunish10",9,903,29,12,NA,NA
"134",932,"noPunish10",9,903,33,8,NA,NA
"135",933,"noPunish10",9,903,31,10,NA,NA
"136",934,"noPunish10",9,903,30,11,NA,NA
"137",941,"noPunish10",9,904,39,20,NA,NA
"138",942,"noPunish10",9,904,44,15,NA,NA
"139",943,"noPunish10",9,904,55,4,NA,NA
"140",944,"noPunish10",9,904,39,20,NA,NA
"141",951,"noPunish10",9,905,40,15,NA,NA
"142",952,"noPunish10",9,905,45,10,NA,NA
"143",953,"noPunish10",9,905,40,15,NA,NA
"144",954,"noPunish10",9,905,40,15,NA,NA
"145",961,"noPunish10",9,906,15,10,NA,NA
"146",962,"noPunish10",9,906,25,0,NA,NA
"147",963,"noPunish10",9,906,15,10,NA,NA
"148",964,"noPunish10",9,906,20,5,NA,NA
"149",971,"noPunish10",9,907,26,10,NA,NA
"150",972,"noPunish10",9,907,35,1,NA,NA
"151",973,"noPunish10",9,907,16,20,NA,NA
"152",974,"noPunish10",9,907,31,5,NA,NA
